RestaurantName,Latitude,Longitude,FoodItem,MenuTypeIndex,MenuType,DishTypeIndex,DishType,AddOn,Description,Dairy,Milk,Eggs,ShellFish,Fish,TreeNuts,Peanuts,Wheat,Soybeans,Sesame,Vegan,Vegetarian,GlutenFree,Pescatarian,NOTE:
DIG Inn,,,hot honey chicken,1,Regular,4,Chef's Specials,,"Charred Broccoli with Lemon (Broccoli, sea salt, Garlic Oil[(garlic, sunflower oil]), lemon, Maldon sea salt. Sheet Tray Carrots Coriander spiced carrot (carrot, canola oil, coriander, sea salt, chili f lake), lemon, gremolata (garlic, rosemary, marjoram, canola oil, parsley, sea salt, extra virgin olive oil), lemon, Maldon sea salt. Jasper Hill Mac & Cheese Whole wheat pasta, bechamel sauce (canola oil, whole wheat flour, whole milk, garlic, rosemary, nutmeg, sea salt, bay leaf, black pepper, Nisin), Jasper Hill cheese blend, heavy cream, Seasoned Breadcrumb (panko breadcrumb, garlic oil [garlic, sunflower oil], onion powder, sea salt, smoked sweet paprika, black pepper), sea salt. Charred Chicken Skinless chicken thigh, charred chicken marinade (extra virgin olive oil, yellow onion, lemon, sea salt, water, smoked sweet paprika, coriander, onion powder, mustard seed, fennel seed).Maple Honey Sriracha Sriracha (canola oil, Fresno pepper, sea salt, agave nectar, tomato paste, apple cider vinegar, garlic, water), maple syrup, honey. ",Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,
DIG Inn,,,spicy meatball bowl,1,Regular,4,Chef's Specials,,"Classic Brown Rice (brown rice, water, sea salt, bay leaf), thyme oil (Sunflower Oil, thyme), apple cider vinegar, lime juice, Maldon sea salt, parsley. Meatballs (beef, chicken, whole grain oats, tomato, citric acid, white onion, Green Lentils, celery seed, parsley, egg, carrot, sea salt, garlic, fennel, black pepper), Spicy Tomato Ragu (crushed tomato, sea salt, sugar, chili flake, black pepper, garlic oil (garlic, sunflower oil).Green kale, Tuscan kale, Cashew Caesar dressing (lemon juice, cashews, coconut aminos, garlic, dijon mustard, sea salt, black pepper, red wine vinegar, canola oil, water), Candied Cashew (cashew, maple syrup, sea salt, sugar, canola oil, cayenne pepper, Chinese five spice, black pepper), chili flake, romaine lettuce, lemon juice, Maldon sea salt. Sheet Tray Carrots (Coriander spiced carrot (carrot, canola oil, coriander, sea salt, chili flake), Gremolata Pesto (Marjoram, Parsley, garlic, canola oil, sea salt, black pepper), lemon, Maldon sea salt.",N,,Y,N,N,Y,N,N,N,N,N,N,Y,N,
DIG Inn,,,original crispy chicken sandwich ,1,Regular,4,Chef's Specials,,"Hamburger bun, Farm Greens with Mint (mesclun greens, green cabbage, mint), Crispy Baked Chicken (Skinless chicken thigh, Herb Marinade [canola oil, garlic, parsley, rosemary, oregano, thyme, coriander, paprika, sea salt], buttermilk, cornflakes, AP flour, baking soda, baking powder, smoked paprika), Dig Sauce (vegan mayonnaise, Sriracha [Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water], smoked black pepper, garlic powder), dill pickles ",Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
DIG Inn,,,orginal cripsy tofu sandwich ,1,Regular,4,Chef's Specials,,"Hamburger bun, Farm Greens with Mint (mesclun greens, green cabbage, mint), Crispy Baked Tofu Tofu (Corn Starch, Coriander, Crushed Red Pepper, Sea Salt, Smoked Paprika, Oregano), Dig Sauce (vegan mayonnaise, Sriracha [Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water], smoked black pepper, garlic powder), dill pickles ",N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,
DIG Inn,,,spicy crispy chicken sandwich,1,Regular,4,Chef's Specials,,"Hamburger bun, Farm Greens with Mint (mesclun greens, green cabbage, mint), Crispy Baked Chicken (Skinless chicken thigh, Herb Marinade [canola oil, garlic, parsley, rosemary, oregano, thyme, coriander, paprika, sea salt], buttermilk, cornflakes, AP flour, baking soda, baking powder, smoked paprika), Dig Sauce (vegan mayonnaise, Sriracha [Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water], smoked black pepper, garlic powder), dill pickles, spicy seasoning (crushed red pepper, paprika, onion powder, smoked black pepper) ",Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
DIG Inn,,,spicy crispy tofu sandwich,1,Regular,4,Chef's Specials,,"Hamburger bun, Farm Greens with Mint (mesclun greens, green cabbage, mint), Crispy Baked Tofu Tofu (Corn Starch, Coriander, Crushed Red Pepper, Sea Salt, Smoked Paprika, Oregano), Dig Sauce (vegan mayonnaise, Sriracha [Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water], smoked black pepper, garlic powder), dill pickles, spicy seasoning (crushed red pepper, paprika, onion powder, smoked black pepper) ",N,N,N,N,N,N,N,Y,Y,N,Y,Y,N,Y,
DIG Inn,,,marinara pesto crispy chicken sandwich,1,Regular,4,Chef's Specials,,"Potato bun, Farm Greens with Mint (Romaine lettuce, mint, mesclun), Crispy Baked Chicken (Skinless chicken thigh, charred chicken marinade [extra virgin olive oil, yellow onion, lemon, sea salt, water, smoked sweet paprika, coriander, onion powder, mustard seed, fennel seed], buttermilk, cornflakes, AP flour, baking soda, baking powder), pesto (Pesto base [garlic puree {garlic, canola oil, extra virgin olive oil}, caper, shallot, mustard, garlic, champagne vinegar, sea salt, black pepper], canola oil, extra virgin olive oil, basil, parsley), garlic aioli (Canola Oil, Chickpea Broth (chickpeas, water) Apple Cider Vinegar, Roasted Garlic, Dijon Mustard (Vinegar, Water, mustard seeds, Turmeric), Sea Salt, Water, Spices, tomato ragu (crushed tomato, sea salt, sugar, chili flake, black pepper, garlic oil [garlic, sunflower oil])",Y,,N,N,N,N,N,Y,N,Y,N,N,N,N,
DIG Inn,,,marinara pesto crispy tofu sandwich ,1,Regular,4,Chef's Specials,,"Potato bun, Farm Greens with Mint (Romaine lettuce, mint, mesclun), Crispy Baked Tofu Tofu (Corn Starch, Coriander, Crushed Red Pepper, Sea Salt, Smoked Paprika, Oregano), pesto (Pesto base [garlic puree {garlic, canola oil, extra virgin olive oil}, caper, shallot, mustard, garlic, champagne vinegar, sea salt, black pepper], canola oil, extra virgin olive oil, basil, parsley), garlic aioli (Canola Oil, Chickpea Broth (chickpeas, water) Apple Cider Vinegar, Roasted Garlic, Dijon Mustard (Vinegar, Water, mustard seeds, Turmeric), Sea Salt, Water, Spices, tomato ragu (crushed tomato, sea salt, sugar, chili flake, black pepper, garlic oil [garlic, sunflower oil])",Y,,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,
DIG Inn,,,Nashville Hot Crispy Chicken Sandwich,1,Regular,4,Chef's Specials,,"Hamburger bun, pickle slaw (Green cabbage, shredded pickled carrots [sugar, sea salt, pickle brine], pickles, parsley, Dig Sauce [vegan mayonnaise, Sriracha {Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water}, smoked black pepper, garlic powder]), Crispy Baked Chicken (Skinless chicken thigh, Herb Marinade [canola oil, garlic, parsley, rosemary, oregano, thyme, coriander, paprika, sea salt], buttermilk, cornflakes, AP flour, baking soda, baking powder, smoked paprika), Nashville Hot Sauce (chili powder, maple syrup, crushed red pepper, smoked black pepper, paprika, canola oil, shallot, garlic, cayenne, sea salt), dill pickles ",Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,
DIG Inn,,,Nashville Hot Crispy Tofu Sandwich,1,Regular,4,Chef's Specials,,"Hamburger bun, pickle slaw (Green cabbage, shredded pickled carrots [sugar, sea salt, pickle brine], pickles, parsley, Dig Sauce [vegan mayonnaise, Sriracha {Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water}, smoked black pepper, garlic powder]), Crispy Baked Tofu Tofu (Corn Starch, Coriander, Crushed Red Pepper, Sea Salt, Smoked Paprika, Oregano), Nashville Hot Sauce (chili powder, maple syrup, crushed red pepper, smoked black pepper, paprika, canola oil, shallot, garlic, cayenne, sea salt), dill pickles ",N,N,N,N,N,,N,Y,Y,N,Y,Y,N,Y,
DIG Inn,,,Shredded BBQ Beef Briskey Sandwich,1,Regular,4,Chef's Specials,,"Hamburger bun, pickle slaw (Green cabbage, shredded pickled carrots [sugar, sea salt, pickle brine], pickles, parsley, Dig Sauce [vegan mayonnaise, Sriracha {Canola oil, Fresno pepper, sea salt, agave, tomato paste, apple cider vinegar, garlic, water}, smoked black pepper, garlic powder]), Beef brisket, brisket rub (sweet pimenton, coriander, chili powder, onion powder, garlic powder, black pepper, sugar, sea salt), barbecue sauce (crushed tomato, molasses, dijon mustard, apple cider vinegar, garlic oil [garlic, sunflower oil], onion powder, garlic powder, black pepper, sweet pimenton, sea salt), dill pickles ",N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,
